canonical_name,aliases,selection_hint,settlement_type,occupation_start_year,occupation_end_year,occupation_qualifier,occupation_basis,curation_note
Quebec City,Quebec,capital city Quebec Canada,modern city,1608,2026,c.–present,reference synthesis,Text calls it the town of Quebec.
Cholula,Cholula|San Pedro Cholula,city Puebla Mexico,modern and ancient city,-500,2026,c.–present,reference synthesis,
Palos de la Frontera,Palos de la Frontera,town Huelva Spain,modern town,1322,2026,c.–present,reference synthesis,
Sainte-Engrâce,Sainte-Engrâce,commune Pyrenees France,modern village,1000,2026,c.–present,reference synthesis,Approximate medieval foundation.
Cuzco,Cuzco|Cusco,city Peru,modern and ancient city,1100,2026,c.–present,reference synthesis,
Athens,Athens,capital Greece ancient city,ancient and modern city,-3000,2026,c.–present,reference synthesis,Long episodic occupation.
Sparta,Sparta,ancient city Greece,ancient city,-900,-192,c.,reference synthesis,Ancient Sparta interval; modern Sparta is a later refoundation.
Rome,Rome,capital Italy ancient city,ancient and modern city,-753,2026,traditional–present,reference synthesis,
Varna,Varna,city Bulgaria,modern city,-580,2026,c.–present,reference synthesis,
Altamira Cave,Altamira|cave of Altamira|cave sites of Altamira,Altamira Cave Spain,cave habitation and aggregation site,-36000,-13000,c.,book plus reference synthesis,Aggregation use is discussed in Chapter 3 notes.
El Castillo Cave,Castillo|cave sites of Altamira and Castillo,El Castillo cave Spain,cave habitation and aggregation site,-40800,-11000,c.,book plus reference synthesis,
Brixham Cave,Brixham Cave,cave archaeological site Devon,cave archaeological site,-30000,-10000,approximate,reference synthesis,Wide low-confidence interval for Palaeolithic use.
Sunghir,Sunghir|Sungir,Upper Paleolithic site Russia,open-air settlement,-34000,-30000,c.,book plus reference synthesis,
Dolní Věstonice,Dolní Věstonice,Upper Paleolithic site Czech Republic,open-air settlement,-29000,-25000,c.,reference synthesis,
Grimaldi Caves,Grimaldi Cave|Grimaldi Caves,cave site Italy,cave habitation and burial site,-24000,-19000,c.,reference synthesis,
Romito Cave,Romito Cave|the Romito Cave,cave archaeological site Calabria,cave habitation and burial site,-17000,-11000,c.,reference synthesis,
Lascaux,Lascaux,cave archaeological site France,cave activity site,-17000,-15000,c.,reference synthesis,
Saint-Germain-de-la-Rivière,Saint-Germain-de-la-Rivière,Magdalenian burial site France,burial and habitation locality,-14000,-14000,c.,book plus reference synthesis,Single-period burial locality.
Yudinovo,Yudinovo,Upper Paleolithic site Russia,open-air settlement,-15000,-12000,c.,reference synthesis,
Mezhirich,Mezhirich|Mezhyrich,Upper Paleolithic site Ukraine,open-air settlement,-15000,-12000,c.,reference synthesis,
Kostenki,Kostenki,Upper Paleolithic site Russia,open-air settlement complex,-40000,-20000,c.,reference synthesis,Multiple occupations across the complex.
Stonehenge,Stonehenge,prehistoric monument England,seasonal aggregation site,-3000,-1600,c.,reference synthesis,Included because the book treats it as a recurring human aggregation place rather than a town.
Durrington Walls,Durrington Walls,Neolithic settlement England,seasonal town,-2600,-2400,c.,book plus reference synthesis,
Göbekli Tepe,Göbekli Tepe,Neolithic archaeological site Turkey,seasonal aggregation and monument complex,-9500,-8000,c.,book plus reference synthesis,
Poverty Point,Poverty Point,archaeological site Louisiana,seasonal aggregation settlement,-1700,-1100,c.,book plus reference synthesis,
Sannai Maruyama,Sannai Maruyama,Jomon archaeological site Japan,settlement,-3900,-2300,book dates,book paragraph L4880,
Watson Brake,Watson’s Brake|Watson's Brake,archaeological site Louisiana,aggregation and mound site,-3500,-2800,c.,reference synthesis,
Çatalhöyük,Çatalhöyük,archaeological site Turkey,large settlement,-7400,-5900,book dates,book paragraph L2060,
Nevalı Çori,Nevalı Çori,Neolithic site Turkey,settlement and monument site,-8500,-8000,c.,reference synthesis,
Jerf el-Ahmar,Jerf el-Ahmar,Neolithic site Syria,settlement,-9500,-8700,c.,reference synthesis,
Jericho,Jericho,ancient city West Bank,ancient and modern city,-9000,2026,c.–present,reference synthesis,Long episodic occupation.
Karahan Tepe,Karahan Tepe,Neolithic archaeological site Turkey,aggregation and monument site,-9500,-8000,c.,reference synthesis,
Körtik Tepe,Körtik Tepe,Neolithic archaeological site Turkey,settlement,-10400,-9250,c.,reference synthesis,
Çayönü Tepesi,Çayönü Tepesi|Çayönü,Neolithic settlement Turkey,settlement,-8630,-6800,c.,reference synthesis,
Tell Brak,Tell Brak,archaeological site Syria,ancient city,-6500,-1300,c.,reference synthesis,
Tell Sabi Abyad,Tell Sabi Abyad,archaeological site Syria,village,-7500,-5500,c.,book plus reference synthesis,Book foregrounds the village destroyed around 6200 BCE.
Kilianstädten,Kilianstädten,Linear Pottery massacre site Germany,village,-5200,-5000,c.,reference synthesis,
Talheim,Talheim,Linear Pottery massacre site Germany,village,-5500,-4900,c.,reference synthesis,
Asparn-Schletz,Asparn|Schletz|Asparn-Schletz,Linear Pottery site Austria,village,-5200,-4900,c.,reference synthesis,Combines the two forms used for the same archaeological locality.
Herxheim,Herxheim,Linear Pottery archaeological site Germany,village,-5300,-4950,c.,reference synthesis,
Lapita type-site,Lapita,archaeological site New Caledonia,village,-1100,-800,c.,reference synthesis,The book names the culture after its type-site.
Caral,Caral,archaeological city Peru,ancient city,-3000,-1800,c.,reference synthesis,
Liangchengzhen,Liangchengzhen,Longshan archaeological site China,walled settlement,-2600,-2000,c.,book plus reference synthesis,
Yaowangcheng,Yaowangcheng,Longshan archaeological site China,walled settlement,-2600,-2000,c.,book plus reference synthesis,
Taljanky,Taljanky|Talianki,Trypillia mega-site Ukraine,mega-settlement,-3700,-3400,c.,reference synthesis,
Maidenetske,Maidenetske|Maidanetske,Trypillia mega-site Ukraine,mega-settlement,-3700,-3400,c.,reference synthesis,
Nebelivka,Nebelivka,Trypillia mega-site Ukraine,mega-settlement,-3970,-3770,c.,reference synthesis,
Uruk,Uruk|Warka|Erech,ancient city Iraq,ancient city,-5000,300,c.,reference synthesis,Warka and biblical Erech are treated as aliases of Uruk.
Harappa,Harappa,archaeological site Pakistan,ancient city,-3300,-1300,c.,reference synthesis,
Mohenjo-daro,Mohenjo-daro,archaeological site Pakistan,ancient city,-2600,-1900,c.,reference synthesis,
Lothal,Lothal,Indus archaeological site India,ancient city,-2400,-1900,c.,reference synthesis,
Shortugai,Shortugai,Indus archaeological site Afghanistan,trading settlement,-2000,-1500,c.,reference synthesis,
Nineveh,Nineveh,ancient Assyrian city Iraq,ancient city,-6000,-612,c.,reference synthesis,
Nimrud,Nimrud,ancient Assyrian city Iraq,ancient city,-1350,-610,c.,reference synthesis,
Babylon,Babylon,ancient city Iraq,ancient city,-2300,1000,c.,reference synthesis,Long episodic occupation.
Susa,Susa,ancient city Iran,ancient city,-4200,1218,c.,reference synthesis,
Ur,Ur,ancient Sumerian city Iraq,ancient city,-3800,-500,c.,reference synthesis,
Lagash,Lagash,ancient Sumerian city Iraq,ancient city,-4000,-1500,c.,reference synthesis,
Girsu,Girsu,ancient Sumerian city Iraq,ancient city,-5000,-2000,c.,reference synthesis,
Nippur,Nippur,ancient Sumerian city Iraq,ancient city,-5000,800,c.,reference synthesis,
Eridu,Eridu,ancient Sumerian city Iraq,ancient city,-5400,-600,c.,reference synthesis,
Kish,Kish,ancient Sumerian city Iraq,ancient city,-3100,-650,c.,reference synthesis,
Larsa,Larsa,ancient Sumerian city Iraq,ancient city,-2500,-500,c.,reference synthesis,
Eshnunna,Eshnunna,ancient city Iraq,ancient city,-3000,-1700,c.,reference synthesis,
Mashkan-shapir,Mashkan-shapir|Mashkan,ancient city Iraq,ancient city,-2050,-1700,c.,reference synthesis,
Mari,Mari|Tell Hariri,ancient city Syria,ancient city,-2900,-1760,c.,reference synthesis,
Urkesh,Urkesh|Tell Mozan,ancient city Syria,ancient city,-4000,-1300,c.,reference synthesis,
Kanesh,Kanesh|Kültepe,ancient city Turkey,ancient city,-3000,-1700,c.,reference synthesis,
Anyang (Yinxu),Anyang|Yinxu,Yinxu archaeological site China,Shang capital,-1300,-1046,c.,book plus reference synthesis,Resolved to the Shang capital rather than the modern city centre.
Shimao,Shimao,archaeological site China,walled city,-2300,-1800,c.,reference synthesis,
Taosi,Taosi,archaeological site China,walled city,-2300,-1800,book dates,book paragraph L2984,
Wangchenggang,Wangchenggang,archaeological site China,walled town,-2200,-1600,c.,reference synthesis,
Erlitou,Erlitou,archaeological site China,urban settlement,-1750,-1530,c.,reference synthesis,
Zhengzhou Shang City,Erligang|Zhengzhou Shang City,Erligang archaeological site China,walled city,-1600,-1400,c.,reference synthesis,Erligang is resolved to the type-site at Zhengzhou.
Tenochtitlan,Tenochtitlan,Aztec capital Mexico,ancient city,1325,1521,established–destroyed,reference synthesis,
Teotihuacan,Teotihuacan,ancient city Mexico,ancient city,-100,550,c.,book plus reference synthesis,
Tikal,Tikal,Maya archaeological city Guatemala,ancient city,-300,900,c.,reference synthesis,
Calakmul,Calakmul,Maya archaeological city Mexico,ancient city,-550,900,c.,reference synthesis,
Palenque,Palenque,Maya archaeological city Mexico,ancient city,-226,900,c.,reference synthesis,
Monte Albán,Monte Alban|Monte Albán,archaeological city Mexico,ancient city,-500,850,c.,book plus reference synthesis,
Tula (Tollan),Tula|Tollan,Tula archaeological site Mexico,Toltec city,850,1150,book dates,book paragraph L3043,
Cahokia,Cahokia,archaeological city Illinois,ancient city,1050,1350,book dates,book paragraph L3955,
Cuicuilco,Cuicuilco,archaeological site Mexico,ancient city,-800,250,c.,reference synthesis,
Tetimpa,Tetimpa,archaeological village Mexico,village,-700,100,c.,reference synthesis,
Tlaxcala,Tlaxcala,pre-Hispanic city Mexico,city-state,1250,2026,c.–present,reference synthesis,Ancient city and modern continuation.
Tizatlan,Tizatlan,pre-Hispanic polity Mexico,city-state,1250,1521,c.,reference synthesis,
Aztlán,Aztlán|Aztlan,legendary homeland Mexico,unlocated historical or legendary settlement,,1150,before,book evidence,Location is explicitly unknown in paragraph L3015; coordinates intentionally null.
Culhuacan,Culhuacan|Culhuacán,pre-Hispanic city Mexico,city-state,600,1521,c.,reference synthesis,
Tlacopan,Tlacopan,pre-Hispanic city Mexico,city-state,1400,1521,c.,reference synthesis,
Texcoco,Texcoco|Tetzcoco,pre-Hispanic city Mexico,city-state,1200,1521,c.,reference synthesis,
Chichén Itzá,Chichén Itzá|Chichén Itza,archaeological city Mexico,ancient city,600,1200,c.,reference synthesis,
Copán,Copán|Copan,Maya archaeological city Honduras,ancient city,400,900,c.,reference synthesis,
Yaxchilán,Yaxchilán,Maya archaeological city Mexico,ancient city,359,808,c.,reference synthesis,
San Lorenzo Tenochtitlán,San Lorenzo,Olmec archaeological site Mexico,ceremonial and residential centre,-1400,-900,c.,reference synthesis,Disambiguated from modern places and the river in Teotihuacan.
La Venta,La Venta,Olmec archaeological site Mexico,ceremonial and residential centre,-1200,-400,c.,reference synthesis,
Aguada Fénix,Aguada Fénix,Maya archaeological site Mexico,ceremonial and residential centre,-1000,-800,book dates,book note L5376,
Chavín de Huántar,Chavín de Huántar,archaeological site Peru,ceremonial and residential centre,-1200,-400,c.,reference synthesis,
Tiwanaku,Tiwanaku,archaeological city Bolivia,ancient city,-300,1000,c.,reference synthesis,
Wari (Huari),Wari|Huari,Wari archaeological city Peru,ancient city,600,1000,c.,reference synthesis,Book's polity name is resolved to its capital settlement.
Knossos,Knossos,Minoan archaeological city Greece,ancient city,-7000,500,c.,reference synthesis,Long multi-period occupation.
Phaistos,Phaestos|Phaistos,Minoan archaeological city Greece,ancient city,-4000,-1200,c.,reference synthesis,
Malia (Minoan site),Malia,Minoan archaeological site Greece,ancient city,-3000,-1200,c.,reference synthesis,Resolved to the archaeological centre rather than the modern town.
Zakros,Zakros,Minoan archaeological site Greece,ancient city,-1900,-1450,c.,reference synthesis,
Akrotiri,Akrotiri,Bronze Age settlement Santorini,ancient city,-5000,-1600,c.,reference synthesis,
Mycenae,Mycenae,archaeological city Greece,ancient city,-1700,-1100,c.,reference synthesis,
Tiryns,Tiryns,archaeological city Greece,ancient city,-2500,-1050,c.,reference synthesis,
Qustul,Qustul,archaeological site Lower Nubia,settlement and cemetery,-3800,-3000,c.,reference synthesis,
Kerma,Kerma,archaeological city Sudan,ancient city,-2500,-1500,c.,reference synthesis,
Abydos,Abydos,ancient city Egypt,ancient settlement and necropolis,-5000,400,c.,reference synthesis,Long episodic occupation.
Hierakonpolis,Hierakonpolis,archaeological city Egypt,ancient city,-4400,-2000,c.,reference synthesis,
Naqada,Naqada,ancient town Egypt,ancient settlement,-4000,-3000,c.,reference synthesis,
Memphis (Egypt),Memphis,ancient city Egypt,ancient city,-3100,641,c.,reference synthesis,
Giza workers' town,workers’ town at Giza|workers' town at Giza|Giza workers' town,workers town Giza Egypt,workers' settlement,-2600,-2500,c.,book plus reference synthesis,Resolved only to the explicitly named workers' town rather than other references to Giza.
Thebes (Egypt),Thebes,ancient city Egypt,ancient city,-3200,400,c.,reference synthesis,
Natchez Great Village,Great Village|Natchez Great Village|Fatherland Site|the Fatherland Site|the Natchez Great Village,Grand Village of the Natchez archaeological site,capital village,1200,1730,c.,reference synthesis,Aliases are merged into the same archaeological settlement.
Pacooda,Pacooda,Shilluk royal village South Sudan,royal village,1600,1900,approximate,book plus reference synthesis,Coordinates and dates are low confidence.
Hopewell Mound Group,Hopewell itself|at Hopewell|Hopewell Mound Group,Hopewell Mound Group Ohio,ceremonial and aggregation centre,-200,500,c.,reference synthesis,Generic references to the wider Hopewell culture and interaction sphere are excluded.
Newark Earthworks,Newark Earthworks|the Newark Earthworks,Hopewell earthworks Ohio,ceremonial and aggregation centre,-100,500,c.,reference synthesis,
Turner Earthworks,Turner Site|the Turner Site,Hopewell archaeological site Ohio,ceremonial and aggregation centre,-100,500,c.,reference synthesis,
