settlement_id,canonical_name,aliases_in_book,settlement_type,latitude,longitude,coordinate_note,coordinate_precision,coordinate_source_url,wikidata_id,wikidata_url,wikipedia_url,wikidata_description,entity_resolution_score,occupation_start_year,occupation_end_year,occupation_interval_display,occupation_qualifier,occupation_basis,curation_note,mention_paragraph_count,sections_mentioned,first_source_line,last_source_line
S001,Quebec City,Quebec,modern city,46.816111,-71.224167,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q2145,Q2145,http://www.wikidata.org/entity/Q2145,https://en.wikipedia.org/wiki/Quebec_City,"capital city of the province of Quebec, Canada",23.0,1608,2026,1608 CE to present,c.–present,reference synthesis,Text calls it the town of Quebec.,7,Chapter 11: Full Circle | Chapter 2: Wicked Liberty | Chapter 3: Unfreezing the Ice Age | Notes to Chapter 11: Full Circle,624,6160
S002,Cholula,Cholula|San Pedro Cholula,modern and ancient city,19.062484166,-98.307505833,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q1007232,Q1007232,http://www.wikidata.org/entity/Q1007232,"https://en.wikipedia.org/wiki/Cholula,_Puebla","municipal seat of San Pedro Cholula, State of Puebla, Mexico",15.95,-500,2026,500 BCE to present,c.–present,reference synthesis,,3,Chapter 9: Hiding in Plain Sight,3166,3218
S003,Palos de la Frontera,Palos de la Frontera,modern town,37.23457,-6.89471,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q24013477,Q24013477,http://www.wikidata.org/entity/Q24013477,,"municipal capital of Palos de la Frontera, Huelva, Andalusia, Spain",12.0,1322,2026,1322 CE to present,c.–present,reference synthesis,,1,Chapter 5: Many Seasons Ago,1680,1680
S004,Sainte-Engrâce,Sainte-Engrâce,modern village,43.014166666,-0.854166666,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q197211,Q197211,http://www.wikidata.org/entity/Q197211,https://en.wikipedia.org/wiki/Sainte-Engr%C3%A2ce,"commune in Pyrénées-Atlantiques, France",16.36,1000,2026,1000 CE to present,c.–present,reference synthesis,Approximate medieval foundation.,1,Chapter 8: Imaginary Cities,2752,2752
S005,Cuzco,Cuzco|Cusco,modern and ancient city,-13.516944444,-71.978611111,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q5582862,Q5582862,http://www.wikidata.org/entity/Q5582862,https://en.wikipedia.org/wiki/Cusco,"historic city of Peru, capital of the Department of Cusco",13.86,1100,2026,1100 CE to present,c.–present,reference synthesis,,4,Chapter 10: Why the State Has No Origin,3361,3651
S006,Athens,Athens,ancient and modern city,37.984166666,23.728055555,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q1524,Q1524,http://www.wikidata.org/entity/Q1524,https://en.wikipedia.org/wiki/Athens,capital and largest city of Greece,19.0,-3000,2026,3000 BCE to present,c.–present,reference synthesis,Long episodic occupation.,16,Chapter 10: Why the State Has No Origin | Chapter 11: Full Circle | Chapter 2: Wicked Liberty | Chapter 5: Many Seasons Ago | Chapter 6: Gardens of Adonis | Chapter 8: Imaginary Cities | Chapter 9: Hiding in Plain Sight,923,4149
S007,Sparta,Sparta,ancient city,37.073678,22.430937,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q5690,Q5690,http://www.wikidata.org/entity/Q5690,https://en.wikipedia.org/wiki/Sparta,city and city-state in ancient Greece,13.77,-900,-192,900 BCE to 192 BCE,c.,reference synthesis,Ancient Sparta interval; modern Sparta is a later refoundation.,5,Chapter 11: Full Circle | Chapter 2: Wicked Liberty | Chapter 5: Many Seasons Ago | Chapter 9: Hiding in Plain Sight,923,4149
S008,Rome,Rome,ancient and modern city,41.893055555,12.482777777,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q220,Q220,http://www.wikidata.org/entity/Q220,https://en.wikipedia.org/wiki/Rome,capital and largest city of Italy,19.0,-753,2026,753 BCE to present,traditional–present,reference synthesis,,10,Chapter 10: Why the State Has No Origin | Chapter 12: Conclusion | Chapter 2: Wicked Liberty | Chapter 8: Imaginary Cities | Chapter 9: Hiding in Plain Sight | Notes to Chapter 10: Why the State Has No Origin,837,5920
S009,Varna,Varna,modern city,43.211375,27.91108,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q6506,Q6506,http://www.wikidata.org/entity/Q6506,"https://en.wikipedia.org/wiki/Varna,_Bulgaria","city in Varna municipality, Varna oblast, Bulgaria",18.92,-580,2026,580 BCE to present,c.–present,reference synthesis,,1,Chapter 8: Imaginary Cities,2702,2702
S010,Altamira Cave,Altamira|cave of Altamira|cave sites of Altamira,cave habitation and aggregation site,43.3775,-4.1225,cave entrance/site centroid,site centroid,https://en.wikipedia.org/wiki/Cave_of_Altamira,,,,,,-36000,-13000,36000 BCE to 13000 BCE,c.,book plus reference synthesis,Aggregation use is discussed in Chapter 3 notes.,4,Chapter 1: Farewell to Humanity’s Childhood | Chapter 3: Unfreezing the Ice Age | Notes to Chapter 3: Unfreezing the Ice Age,213,4778
S011,El Castillo Cave,Castillo|cave sites of Altamira and Castillo,cave habitation and aggregation site,43.2923,-3.9655,cave entrance/site centroid,site centroid,https://fr.wikipedia.org/wiki/Grotte_d%27El_Castillo,,,,,,-40800,-11000,40800 BCE to 11000 BCE,c.,book plus reference synthesis,,3,Notes to Chapter 10: Why the State Has No Origin | Notes to Chapter 3: Unfreezing the Ice Age | Notes to Chapter 9: Hiding in Plain Sight,4778,5800
S012,Brixham Cave,Brixham Cave,cave archaeological site,50.3938,-3.5143,scheduled-monument location,site centroid,https://ancientmonuments.uk/106896-windmill-hill-cave-brixham-brixham,,,,,,-30000,-10000,30000 BCE to 10000 BCE,approximate,reference synthesis,Wide low-confidence interval for Palaeolithic use.,1,Chapter 3: Unfreezing the Ice Age,958,958
S013,Sunghir,Sunghir|Sungir,open-air settlement,56.17583333,40.50916667,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q1779534,Q1779534,http://www.wikidata.org/entity/Q1779534,https://en.wikipedia.org/wiki/Sungir,upper Paleolithic archaeological site in Russia,19.32,-34000,-30000,34000 BCE to 30000 BCE,c.,book plus reference synthesis,,3,Chapter 3: Unfreezing the Ice Age,1019,1118
S014,Dolní Věstonice,Dolní Věstonice,open-air settlement,48.88333,16.65,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q2915044,Q2915044,http://www.wikidata.org/entity/Q2915044,https://en.wikipedia.org/wiki/Doln%C3%AD_V%C4%9Bstonice_(archaeological_site),Archaeological site in the Czech Republic,15.25,-29000,-25000,29000 BCE to 25000 BCE,c.,reference synthesis,,6,Chapter 3: Unfreezing the Ice Age | Notes to Chapter 3: Unfreezing the Ice Age,1019,4778
S015,Grimaldi Caves,Grimaldi Cave|Grimaldi Caves,cave habitation and burial site,43.784162,7.53336,Balzi Rossi cave complex centroid,site centroid,https://fr.wikipedia.org/wiki/Balzi_Rossi,,,,,,-24000,-19000,24000 BCE to 19000 BCE,c.,reference synthesis,,1,Chapter 3: Unfreezing the Ice Age,1118,1118
S016,Romito Cave,Romito Cave|the Romito Cave,cave habitation and burial site,39.911111111,15.929166666,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q750837,Q750837,http://www.wikidata.org/entity/Q750837,https://en.wikipedia.org/wiki/Romito_Cave,"cave in the Lao Valley of Pollino National Park, near the town of Papasidero in Calabria, Italy",26.32,-17000,-11000,17000 BCE to 11000 BCE,c.,reference synthesis,,1,Chapter 3: Unfreezing the Ice Age,1118,1118
